instance_id,brand,cpu_brand,cpu_model,cpu_type,cpu_frequency,ram_capacity,ram_type,ram_frequency,hdd_capacity,ssd_capacity,weight,dimensions,title
source15__713,,Intel Core i7,,Intel Core i7,,,,,100-149 GB,,,,HP EliteBook 8560P Intel Core i7 Quad 2.2GHz 128GB SSD 15.6-inch Laptop Computer (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops
source15__742,,Intel Core i7,,Intel Core i7,,,,,300-499 GB,,,,HP 8540W Notebook PC (Refurbished) | Overstock.com Shopping - The Best Deals on Laptops
source15__101,,Intel Core i7,,Intel Core i7,,,,,750 GB,,,,HP EliteBook 8560P Intel Core i7 Quad Core 2.2GHz 750GB 15.6-inch Laptop Computer(Refurbished) | Overstock.com Shopping - The Best Deals on Laptops
source7__1731,,Intel Core i3,,Intel Core i3,1.90 GHz,6 GB,DDR3 SDRAM,,500 GB,20 GB,4.30 lbs,9.6 in. 13.4 in,"Acer Aspire M5-481T-33226G52Mtss 14"" LED Ultrabook - Intel Core I3 I3-3227U 1.90 GHz (6 GB RAM - 500 GB HDD - 20 GB SSD - DVD-Writer - Intel HD 4000 - Windows 7 Home Premium 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net"
source7__1655,,Intel Celeron,,Intel Celeron,1 GHz,4 GB,DDR3L SDRAM,,500 GB,,3.04 lbs,8.1 in. 11.4 in,"Acer Aspire V5-132P-10194G50nss 11.6"" Touchscreen LED Notebook - Intel Celeron 1019Y 1 GHz - Silver (4 GB RAM - 500 GB HDD - Intel HD Graphics - Windows 8 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net"
source7__514,,Intel Core i7,,Dual-Core. Intel Core i7,2.66 GHz,4 GB,DDR3,,250 GB. 1,,5 lbs,9.29 in. 13.21 in,"HP (Hewlett-Packard) EliteBook 8440p 14"" Notebook (2.6 GHz Intel Core I7-620M, 4 GB DDR3, 250 GB HDD, DVD±RW, Windows 7 Professional, LED Backlight)Professional - 700443660570 Price Comparison at Buy.net"
source7__890,,Intel Core i5,,Intel Core i5,1.60 GHz,8 GB,DDR3L SDRAM,,,256 GB,2.60 lbs,8.8 in. 12.8 in,"Asus ZENBOOK UX301LA-DH51T 13.3"" Touchscreen Ultrabook - Intel Core I5 I5-4200U 1.60 GHz - Blue (8 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 8 64-bit - 2560 X 1440 Display - Bluetooth) Price Comparison at Buy.net"
source16__2128,,,,,,,,,,,,,HP EliteBook Revolve 810 G2 Tablet - 11.6 - Core i5 4310U - Windows 8.1 Pro 64-bit - 4 GB RAM - 128 GB SSD
source1__130,Acer,"Acer Aspire E5-571-588M 15.6 '' Laptop with Core i5-4210U 1.7GHz , 4GB RAM , 500GB HDD , Windows 8.1","Acer Aspire E5-571-588M 15.6 '' Laptop with Core i5-4210U 1.7GHz , 4GB RAM , 500GB HDD , Windows 8.1","Acer Aspire E5-571-588M 15.6 '' Laptop with Core i5-4210U 1.7GHz , 4GB RAM , 500GB HDD , Windows 8.1","Acer Aspire E5-571-588M 15.6 '' Laptop with Core i5-4210U 1.7GHz , 4GB RAM , 500GB HDD , Windows 8.1","Acer Aspire E5-571-588M 15.6 '' Laptop with Core i5-4210U 1.7GHz , 4GB RAM , 500GB HDD , Windows 8.1","Acer Aspire E5-571-588M 15.6 '' Laptop with Core i5-4210U 1.7GHz , 4GB RAM , 500GB HDD , Windows 8.1",,,,,,"Acer Aspire E5-571-588M 15.6"" Laptop on sale for $390.99"
source1__152,Hewlett-Packard,"HP 15-f009wm 15.6 '' Notebook PC with 4GB RAM , 500GB Hard Drive , Webcam , Windows 8.1 ( J2V78UA )","HP 15-f009wm 15.6 '' Notebook PC with 4GB RAM , 500GB Hard Drive , Webcam , Windows 8.1 ( J2V78UA )","HP 15-f009wm 15.6 '' Notebook PC with 4GB RAM , 500GB Hard Drive , Webcam , Windows 8.1 ( J2V78UA )","HP 15-f009wm 15.6 '' Notebook PC with 4GB RAM , 500GB Hard Drive , Webcam , Windows 8.1 ( J2V78UA )","HP 15-f009wm 15.6 '' Notebook PC with 4GB RAM , 500GB Hard Drive , Webcam , Windows 8.1 ( J2V78UA )","HP 15-f009wm 15.6 '' Notebook PC with 4GB RAM , 500GB Hard Drive , Webcam , Windows 8.1 ( J2V78UA )",,,,,,"HP 15-f009wm 15.6"" Notebook PC on sale for $229.22"
