id,address,authors,booktitle,date,editor,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
1,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.",,(1994).,,,"Andersson, J Appl. Phys.,",,,893,,,Inganas and M.R.,,76,
2,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.   Andersson,",,(1994).,,,"J Appl. Phys.,",,,893,,,,,76,
3,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R.  Andersson,",,(1994).,,,"J Appl. Phys.,",,,893,,,,,76,
4,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,,"J Appl. Phys.,",,,893,,,,,76,
5,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R. Andersson,",,(1994).,,,"J Appl. Phys.,",,,893,,,,,76,
6,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,,"J Appl. Phys.,",,,893,,,,,76,
7,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,,"J Appl. Phys.,",,,893,,,,,76,
8,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,,"Journal of Applied Physics,",,,893,,,,,76,
9,"New York,",C. Ray Asfahl.,,1992.,,,,,"second edition,",,"John Wiley and Sons,",,Robots and Manufacturing Automation.,,,
10,"Milan,",Steve Benford and Lennart E. Fahlen.,"In Proceedings of ECSCW''93,",1993.,,,,,,,,,A spatial model of interaction in large virtual environments.,,,
11,Stockholm.,"Benford, S., and Fahln, L.","6th ERCIM workshop,","June 1994,",,,,,,,,,"Viewpoints, Actionpoints and Spatial Frames for Collaborative User Interfaces,",,,
