left_instance_id,right_instance_id,label
source6__1129,source6__1396,1
source2__93,source13__813,1
source6__1394,source13__813,1
source6__1394,source2__93,1
source6__1394,source2__448,1
source2__448,source2__93,1
source2__448,source13__813,1
source6__1265,source13__411,1
source6__1254,source2__110,1
source6__1434,source6__1221,1
source0__51840,source0__52283,1
source0__4704,source0__14102,1
source0__14060,source0__13914,1
source0__4704,source0__13914,1
source0__4704,source0__14060,1
source0__13914,source0__14102,1
source0__14060,source0__14102,1
source5__1976,source3__1910,1
source3__770,source3__1518,1
source3__1221,source3__1465,1
source3__1221,source3__770,1
source3__1465,source3__1518,1
source3__1221,source3__1518,1
source3__1465,source3__770,1
source0__15923,source0__15967,1
source0__17453,source0__7322,1
source0__16400,source0__7322,1
source0__50003,source0__50631,1
source0__17453,source0__50003,1
source0__16400,source0__50631,1
source0__7322,source0__50631,1
source0__17453,source0__50631,1
source0__17453,source0__16400,1
source0__50003,source0__7322,1
source0__16400,source0__50003,1
source5__998,source3__884,1
source3__2058,source3__884,1
source5__998,source3__2058,1
source0__1702,source3__99,1
source3__2492,source3__503,1
source3__1488,source3__503,1
source3__1488,source3__2492,1
source2__126,source6__1575,1
source7__1731,source6__885,1
source2__492,source13__599,1
source6__885,source13__599,1
source7__1731,source13__599,1
source7__1731,source2__492,1
source6__885,source2__492,1
source14__1961,source6__1200,1
source0__4120,source1__112,1
source0__14140,source1__93,1
source1__99,source0__14140,1
source2__258,source1__93,1
source1__99,source1__93,1
source2__258,source0__14140,1
source1__99,source2__258,1
source7__890,source2__60,1
source11__2023,source0__17349,1
source0__17150,source14__1647,1
source16__2128,source6__978,1
source3__698,source8__1070,1
source0__1657,source0__49451,1
source0__51351,source0__1777,1
source0__18033,source0__49639,1
source0__17642,source0__52405,1
source0__17642,source0__17287,1
source0__17642,source0__49639,1
source0__51820,source0__17287,1
source0__51820,source0__52405,1
source0__3066,source0__18033,1
source0__49639,source0__52405,1
source0__17642,source0__51820,1
source0__52405,source0__6682,1
source0__51820,source0__49639,1
source0__18033,source0__17287,1
source0__18033,source0__52405,1
source0__3066,source0__51820,1
source0__18033,source0__51820,1
source0__17642,source0__18033,1
source0__3066,source0__17287,1
source0__18033,source0__6682,1
source0__3066,source0__6682,1
source0__49639,source0__6682,1
source0__51820,source0__6682,1
source0__17287,source0__49639,1
source0__3066,source0__17642,1
source0__17287,source0__6682,1
source0__17287,source0__52405,1
source0__3066,source0__49639,1
source0__17642,source0__6682,1
source0__3066,source0__52405,1
source0__17275,source0__6547,1
source0__17535,source0__7947,1
source0__15969,source15__742,1
source0__14259,source0__15969,1
source0__17166,source0__16050,1
source0__52475,source0__15813,1
source0__7947,source4__92,1
source0__1716,source0__50272,1
source0__4934,source0__18626,1
source0__17166,source0__17878,1
source0__52475,source4__121,1
source0__16050,source15__742,1
source0__16318,source0__4934,1
source0__7947,source0__14957,1
source0__16318,source0__14957,1
source0__7947,source0__4934,1
source0__50407,source0__14212,1
source0__14957,source0__18325,1
source0__18274,source15__742,1
source0__15813,source0__14212,1
source0__1716,source0__16050,1
source0__17535,source0__18325,1
source0__18311,source15__742,1
source0__52475,source0__18626,1
source0__17635,source0__14957,1
source0__17635,source15__742,1
source0__4934,source4__121,1
source0__15969,source0__18311,1
source0__15144,source0__17635,1
source0__17535,source0__15144,1
source0__18311,source0__15813,1
source0__50407,source0__50063,1
source0__50407,source4__92,1
source0__14957,source0__50407,1
source0__18325,source0__17878,1
source0__1716,source0__17535,1
source0__15144,source0__7947,1
source0__14957,source4__121,1
source0__17166,source0__14957,1
source0__4934,source15__742,1
source0__15813,source0__17878,1
source0__14259,source0__50063,1
source0__14957,source0__18311,1
source0__17635,source0__17839,1
source0__17535,source0__14212,1
source0__7947,source0__16050,1
source0__18311,source0__18626,1
source0__15813,source0__16050,1
source4__121,source4__92,1
source0__17535,source0__18311,1
source0__17635,source0__17878,1
source0__18274,source0__50407,1
source0__15969,source0__50063,1
source0__14259,source0__17878,1
source0__50272,source0__18626,1
source0__18274,source0__15813,1
source0__14259,source0__14212,1
source0__15969,source4__92,1
source0__50063,source0__14212,1
source0__15144,source0__17839,1
source0__18274,source0__50272,1
source0__50272,source0__16050,1
source0__17166,source0__4934,1
source0__14957,source0__50272,1
source0__16050,source0__14212,1
source0__52475,source0__18325,1
source0__15969,source0__17166,1
source0__14957,source0__50063,1
source0__18274,source0__14259,1
source0__1716,source0__18325,1
source0__16318,source15__742,1
source0__17635,source0__16050,1
source0__18274,source0__18626,1
source0__17635,source0__14212,1
source0__17535,source4__92,1
source0__7947,source0__50272,1
source0__17535,source0__50063,1
source0__17878,source15__742,1
source0__7947,source0__15813,1
source0__16318,source0__50272,1
source0__17839,source0__4934,1
source0__4934,source0__50272,1
source0__1716,source0__4934,1
source0__7947,source0__18325,1
source0__50063,source0__16050,1
source0__16318,source0__1716,1
source0__15144,source0__16050,1
source0__18325,source0__50063,1
source0__17166,source0__18626,1
source0__15144,source0__18626,1
source0__50063,source0__17878,1
source0__17839,source0__50272,1
source0__52475,source0__50272,1
source0__15969,source0__14212,1
source0__7947,source0__18626,1
source0__1716,source0__15813,1
source0__15144,source4__92,1
source0__17635,source0__18325,1
source0__14259,source0__52475,1
source0__14259,source0__50407,1
source0__50407,source0__50272,1
source0__18274,source0__17878,1
source0__16318,source4__121,1
source0__17166,source0__15813,1
source0__16318,source0__50063,1
source0__1716,source4__92,1
source0__17535,source4__121,1
source0__15144,source0__15813,1
source0__15144,source4__121,1
source0__7947,source0__18311,1
source0__17166,source0__50272,1
source0__1716,source0__18626,1
source0__1716,source0__50407,1
source0__52475,source0__17535,1
source0__17535,source0__16050,1
source0__15969,source0__14957,1
source0__14212,source15__742,1
source0__18311,source0__18325,1
source0__14259,source0__14957,1
source0__14259,source0__4934,1
source0__17635,source4__92,1
source0__50272,source4__92,1
source4__121,source0__18626,1
source0__15813,source4__121,1
source0__17166,source0__17535,1
source0__50063,source4__121,1
source0__17166,source0__14212,1
source0__17535,source0__50272,1
source0__18325,source15__742,1
source0__15969,source0__18626,1
source0__17535,source0__15813,1
source0__18274,source4__121,1
source0__15969,source0__16050,1
source4__121,source0__50272,1
source0__18311,source0__4934,1
source0__14957,source0__15813,1
source0__15144,source15__742,1
source0__17839,source0__18311,1
source0__7947,source15__742,1
source0__17535,source0__17878,1
source0__15969,source0__50272,1
source0__15144,source0__17878,1
source4__121,source0__14212,1
source0__18274,source0__50063,1
source0__16318,source0__14212,1
source0__18274,source4__92,1
source0__15969,source0__15813,1
source0__1716,source0__14212,1
source0__17535,source0__18626,1
source0__14259,source0__17166,1
source0__17839,source0__18626,1
source0__18325,source0__16050,1
source0__14259,source0__15144,1
source0__16318,source0__15813,1
source0__15144,source0__50063,1
source0__14957,source0__18626,1
source0__17839,source0__16050,1
source0__16318,source0__17166,1
source0__18274,source0__16050,1
source0__18325,source0__18626,1
source0__4934,source0__14212,1
source0__15969,source0__52475,1
source0__7947,source0__17878,1
source0__17839,source0__50063,1
source0__17166,source4__92,1
source0__16318,source4__92,1
source0__16318,source0__7947,1
source0__1716,source0__50063,1
source0__17839,source0__15813,1
source0__15144,source0__50407,1
source0__17535,source0__50407,1
source0__4934,source4__92,1
source0__50407,source4__121,1
source0__16318,source0__18626,1
source0__16318,source0__14259,1
source0__50407,source0__15813,1
source0__18626,source4__92,1
source0__14259,source0__1716,1
source0__18325,source0__15813,1
source0__17878,source4__92,1
source0__14957,source0__14212,1
source0__17635,source0__7947,1
source0__52475,source0__17635,1
source0__18274,source0__14212,1
source0__17839,source0__17878,1
source0__7947,source0__50063,1
source4__121,source15__742,1
source0__17839,source15__742,1
source0__52475,source0__14957,1
source0__50063,source0__50272,1
source0__52475,source4__92,1
source0__1716,source0__14957,1
source0__52475,source0__1716,1
source0__15144,source0__50272,1
source0__14957,source15__742,1
source0__50407,source0__17878,1
source0__15969,source0__17535,1
source0__50407,source0__18626,1
source0__14259,source0__18325,1
source0__15969,source0__50407,1
source0__50063,source15__742,1
source0__52475,source0__14212,1
source0__16050,source4__92,1
source0__14259,source0__18626,1
source0__50272,source0__17878,1
source0__1716,source0__17878,1
source0__52475,source0__17839,1
source0__18274,source0__17166,1
source0__16318,source0__17535,1
source0__14259,source4__92,1
source0__17635,source0__4934,1
source0__17839,source0__14957,1
source0__17166,source0__52475,1
source0__18311,source4__121,1
source0__52475,source0__15144,1
source0__16318,source0__18311,1
source0__17839,source0__14212,1
source0__14259,source0__18311,1
source0__50407,source0__18325,1
source0__16318,source0__50407,1
source0__14259,source0__15813,1
source0__17635,source0__18311,1
source0__17635,source0__50272,1
source0__17166,source0__7947,1
source0__14259,source4__121,1
source0__15813,source4__92,1
source0__15969,source0__15144,1
source0__18274,source0__52475,1
source0__18274,source0__18311,1
source0__15969,source0__4934,1
source0__15969,source4__121,1
source0__18311,source4__92,1
source0__18311,source0__50063,1
source0__15969,source0__17839,1
source0__52475,source15__742,1
source0__52475,source0__16050,1
source0__17166,source0__50063,1
source0__1716,source0__7947,1
source4__121,source0__17878,1
source0__16318,source0__18325,1
source15__742,source4__92,1
source0__1716,source15__742,1
source0__14259,source0__16050,1
source0__15144,source0__14957,1
source0__15969,source0__18325,1
source0__17535,source0__14957,1
source0__50063,source4__92,1
source0__18274,source0__15144,1
source0__17878,source0__16050,1
source0__15144,source0__4934,1
source0__17535,source0__4934,1
source0__4934,source0__17878,1
source0__50063,source0__18626,1
source0__52475,source0__50063,1
source0__17635,source4__121,1
source0__18274,source0__17839,1
source4__121,source0__16050,1
source0__18274,source0__17535,1
source0__16318,source0__16050,1
source0__18274,source0__18325,1
source0__17166,source0__1716,1
source0__14259,source15__742,1
source0__15969,source0__17635,1
source0__17535,source15__742,1
source0__18325,source0__50272,1
source0__14212,source4__92,1
source0__14259,source0__7947,1
source0__18274,source0__16318,1
source0__50063,source0__15813,1
source0__17635,source0__50407,1
source0__17166,source0__17839,1
source0__50272,source0__14212,1
source0__16318,source0__17878,1
source0__17166,source15__742,1
source0__1716,source4__121,1
source0__18274,source0__7947,1
source0__18274,source0__15969,1
