p1,p2
100863,108060
10107,7341
101082,105666
101723,106128
101733,102149
101836,105529
102361,103634
102424,107480
102446,103731
103731,104112
10253,10368
10293,7599
103170,103181
10361,5426
5426,6761
6761,7869
10383,6858
6858,7852
7852,8029
10449,6162
104610,105320
104659,105377
104733,105907
105331,108263
105618,105975
105975,106271
106238,107140
10652,9640
108362,108392
108746,109003
3722,6719
6719,8453
5443,2440
5477,8368
8368,9076
7460,6272
10986,7087
11150,8901
11455,5289
1818,7075
2957,3106
2366,2367
2406,7291
2427,8640
2577,2581
2619,4520
2781,9669
2807,7064
3159,9969
3192,7923
3356,6955
3383,6969
3529,4114
3539,4190
3670,4441
4441,7515
7515,7769
7769,8151
3678,4266
4266,6690
4108,7977
4124,7722
4178,7199
7199,8683
4179,4732
4732,4911
4291,4905
4292,8795
4297,4306
4348,7170
4358,6398
4419,7644
4481,6716
4490,7121
4508,9662
4613,6116
4676,5746
5746,8097
4843,8794
4895,9209
5052,7347
5324,7847
5394,5418
5574,7562
5577,8990
5664,8717
5988,8859
6314,8464
6316,7311
6374,9777
6382,7920
6547,6741
6568,9557
6740,9193
6756,8537
6802,8890
6922,9161
7008,8831
7037,7237
7134,9695
7161,8131
7344,8291
7346,7719
7540,7542
7542,8823
7604,9790
7622,8349
7671,8759
7859,9798
8043,8234
8114,8659
8274,8630
8630,8805
8311,8312
8668,8843
8778,9060
8919,9083
9333,9450
9421,9489
9588,9811
10000,8664
100170,100358
100358,103646
100198,106489
